subsub-2842950,ses1,	sub0021006,ses2,	subsub-2842950,ses2,	sub0021006,ses1,	subsub-3315657,ses2,	sub0021002,ses1,	sub0021024,ses2,	subsub-1961098,ses2,	subsub-3315657,ses1,	sub0021024,ses1,	sub0021002,ses2,	subsub-1961098,ses1,	subsub-2799329,ses1,	sub4288245,ses1,	subsub-2475376,ses1,	sub3201815,ses2,	sub3795193,ses2,	subsub-8735778,ses1,	subsub-1793622,ses2,	subsub-2799329,ses2,	sub4288245,ses2,	subsub-2475376,ses2,	sub3201815,ses1,	sub3795193,ses1,	subsub-8735778,ses2,	subsub-1793622,ses1,	subsub-9630905,ses1,	sub3808535,ses2,	sub4176156,ses2,	sub0021018,ses1,	subsub-7055197,ses1,	sub0021001,ses1,	sub3313349,ses2,	subsub-9630905,ses2,	sub3808535,ses1,	sub4176156,ses1,	sub0021018,ses2,	subsub-7055197,ses2,	sub3313349,ses1,	sub0021001,ses2,	sub1961098,ses2,	subsub-0021024,ses2,	subsub-0021002,ses1,	sub3315657,ses2,	sub1961098,ses1,	subsub-0021002,ses2,	subsub-0021024,ses1,	sub3315657,ses1,	subsub-0021006,ses2,	sub2842950,ses1,	subsub-0021006,ses1,	sub2842950,ses2,	subsub-3313349,ses2,	subsub-0021001,ses1,	sub7055197,ses1,	subsub-4176156,ses2,	subsub-0021018,ses1,	sub9630905,ses1,	subsub-3808535,ses2,	subsub-0021001,ses2,	subsub-3313349,ses1,	sub7055197,ses2,	subsub-4176156,ses1,	subsub-0021018,ses2,	sub9630905,ses2,	subsub-3808535,ses1,	sub8735778,ses1,	sub1793622,ses2,	subsub-3795193,ses2,	sub2475376,ses1,	subsub-3201815,ses2,	sub2799329,ses1,	subsub-4288245,ses1,	sub8735778,ses2,	sub1793622,ses1,	subsub-3795193,ses1,	sub2475376,ses2,	subsub-3201815,ses1,	sub2799329,ses2,	subsub-4288245,ses2,
3,8,	3,4,	4,4,	2,7,	3,3,	1,8,	2,9,	1,11,	3,5,	3,7,	3,6,	3,3,	3,3,	0,0,	4,2,	4,3,	2,6,	3,6,	2,6,	0,0,	3,4,	6,1,	2,4,	2,11,	4,3,	3,5,	4,4,	2,6,	4,1,	4,4,	4,2,	3,5,	5,1,	3,4,	2,6,	2,13,	3,4,	4,1,	5,1,	2,7,	1,11,	2,9,	1,8,	3,3,	3,3,	3,6,	3,7,	3,5,	3,4,	3,8,	2,7,	4,4,	5,1,	3,5,	4,2,	4,1,	4,4,	4,4,	2,6,	2,7,	5,1,	4,1,	2,13,	3,4,	3,4,	2,6,	3,6,	2,6,	2,6,	4,2,	4,3,	3,3,	0,0,	4,3,	3,5,	2,11,	6,1,	2,4,	0,0,	3,4,
2,7,	2,3,	3,9,	1,9,	2,7,	0,0,	1,5,	0,0,	2,9,	2,10,	2,11,	2,6,	2,7,	0,0,	3,5,	3,5,	1,10,	2,6,	1,15,	0,0,	2,8,	5,1,	1,11,	1,9,	3,4,	2,7,	3,6,	1,18,	3,4,	3,4,	3,5,	2,6,	4,2,	2,6,	1,13,	1,14,	2,12,	3,3,	4,3,	1,8,	0,0,	1,5,	0,0,	2,7,	2,6,	2,11,	2,10,	2,9,	2,3,	2,7,	1,9,	3,9,	4,2,	2,6,	3,5,	3,4,	3,4,	3,6,	1,18,	1,8,	4,3,	3,3,	1,14,	2,12,	2,6,	1,13,	2,6,	1,15,	1,10,	3,5,	3,5,	2,7,	0,0,	3,4,	2,7,	1,9,	5,1,	1,11,	0,0,	2,8,
1,10,	1,11,	2,7,	0,0,	1,14,	0,0,	0,0,	0,0,	1,13,	1,5,	1,7,	1,8,	1,11,	0,0,	2,6,	2,11,	0,0,	1,13,	0,0,	0,0,	1,9,	4,3,	0,0,	0,0,	2,7,	1,14,	2,4,	0,0,	2,11,	2,10,	2,9,	1,11,	3,6,	1,12,	0,0,	0,0,	1,7,	2,7,	3,4,	0,0,	0,0,	0,0,	0,0,	1,14,	1,8,	1,7,	1,5,	1,13,	1,11,	1,10,	0,0,	2,7,	3,6,	1,11,	2,9,	2,11,	2,10,	2,4,	0,0,	0,0,	3,4,	2,7,	0,0,	1,7,	1,12,	0,0,	1,13,	0,0,	0,0,	2,6,	2,11,	1,11,	0,0,	2,7,	1,14,	0,0,	4,3,	0,0,	0,0,	1,9,
0,0,	0,0,	1,11,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,15,	1,9,	0,0,	0,0,	0,0,	0,0,	0,0,	3,1,	0,0,	0,0,	1,11,	0,0,	1,9,	0,0,	1,8,	1,10,	1,7,	0,0,	2,7,	0,0,	0,0,	0,0,	0,0,	1,10,	2,10,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,11,	2,7,	0,0,	1,7,	1,8,	1,10,	1,9,	0,0,	0,0,	2,10,	1,10,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,15,	1,9,	0,0,	0,0,	1,11,	0,0,	0,0,	3,1,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	2,12,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,6,	0,0,	0,0,	0,0,	0,0,	0,0,	1,10,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,6,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,10,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	2,12,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,12,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,12,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,		0,0,
0,0,	0,0,	0,0,	0,0,	0,0,		0,0,		0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,		0,0,
0,0,	0,0,	0,0,		0,0,				0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,		0,0,			0,0,	0,0,			0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,			0,0,	0,0,	0,0,					0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,			0,0,	0,0,		0,0,	0,0,		0,0,			0,0,	0,0,	0,0,		0,0,	0,0,		0,0,			0,0,
		0,0,												0,0,	0,0,						0,0,			0,0,		0,0,		0,0,	0,0,	0,0,		0,0,					0,0,	0,0,													0,0,	0,0,		0,0,	0,0,	0,0,	0,0,			0,0,	0,0,								0,0,	0,0,			0,0,			0,0,			
																					0,0,											0,0,						0,0,														0,0,								0,0,																0,0,			
																					0,0,																																																							0,0,			
